Question,Label,Tagged
What can I use to roast Spanish Potato Omelet dish?,ING,What can I use to <method>roast</method> <name>Spanish</name> <name>Potato</name> <name>Omelet</name> dish ?
what is spinach arancini?,OBJ,
All about grilled halloumi kebabs,ALL,
What are essential Barbecue Cornbread Pizza ingredients?,ING,What are essential <name>Barbecue</name> <name>Cornbread</name> <name>Pizza</name> ingredients ?
what cooking utensils are used in the Crab Cakes III?,EQUIP,what cooking utensils are used in the <name>Crab</name> <name>Cakes</name> <name>III</name> ?
How do I grill Jalapeno Souffle from watermelon?,DIR,How do I <method>grill</method> <name>Jalapeno</name> <name>Souffle</name> from <ing>watermelon</ing> ?
Which utensils is required for Deer Chop Hurry?,EQUIP,Which utensils is required for <name>Deer</name> <name>Chop</name> <name>Hurry</name> ?
How many cups of sugar for baking perfect sesame chicken?,QTY,How many cups of <ing>sugar</ing> for <method>baking</method> <name>perfect</name> <name>sesame</name> <name>chicken</name> ?
tradicional sunrise?,ALL,<name>tradicional</name> <name>sunrise</name> ?
How long do I fry Chex® Lemon Buddies?,TIME,How long do I <method>fry</method> <name>Chex®</name> <name>Lemon</name> <name>Buddies</name> ?
what are  interesting Tequila Drinks recipes to try ?,NAME,what are interesting <type>Tequila</type> <type>Drinks</type> recipes to try ?
Equipment list essential for preparing the hunza bread ii?,EQUIP,Equipment list essential for preparing the <name>hunza</name> <name>bread</name> <name>ii</name> ?
How much butter do I use for Vegan Seitan Korma?,QTY,How much <ing>butter</ing> do I use for <name>Vegan</name> <name>Seitan</name> <name>Korma</name> ?
Best way for simmering brazilian banana bread dish?,DIR,Best way for <method>simmering</method> <name>brazilian</name> <name>banana</name> <name>bread</name> dish ?
How should I cook broccoli?,DIR,How should I cook <ing>broccoli</ing> ?
"What can I mix with white rice, flour and olive oil to cook Lamb Meatballs?",ING,"What can I mix with <ing>white</ing> <ing>rice</ing> , <ing>flour</ing> and <ing>olive</ing> <ing>oil</ing> to cook <name>Lamb</name> <name>Meatballs</name> ?"
simmering time of southern potato salad?,TIME,<method>simmering</method> time of <name>southern</name> <name>potato</name> <name>salad</name> ?
How many cups of nectar for boiling Chocolate Soup I?,QTY,How many cups of <ing>nectar</ing> for <method>boiling</method> <name>Chocolate</name> <name>Soup</name> <name>I</name> ?
How much time should I grill Radler dish?,TIME,How much time should I <method>grill</method> <name>Radler</name> dish ?
How many cloves and shrimp do I need for Authentic Enchiladas Verdes?,QTY,How many <ing>cloves</ing> and <ing>shrimp</ing> do I need for <name>Authentic</name> <name>Enchiladas</name> <name>Verdes</name> ?
How long for boiling tasty tuna steak?,TIME,How long for <method>boiling</method> <name>tasty</name> <name>tuna</name> <name>steak</name> ?
What's in asparagus chicken?,ING,What 's in <name>asparagus</name> <name>chicken</name> ?
Recipe for the best happy soup?,DIR,Recipe for the best <name>happy</name> <name>soup</name> ?
What are some ingredients I can use for the macaroni corn casserole?,ING,What are some ingredients I can use for the <name>macaroni</name> <name>corn</name> <name>casserole</name> ?
Best Salsa I recipe?,ALL,Best <name>Salsa</name> <name>I</name> recipe ?
I want ingredient advice for asparagus with brie?,ING,I want ingredient advice for <name>asparagus</name> with <ing>brie</ing> ?
How many cups of milk for making Honey-Mustard Baked Chicken?,QTY,How many cups of <ing>milk</ing> for making <name>Honey-Mustard</name> <name>Baked</name> <name>Chicken</name> ?
What are ingredients for the Breakfast Potatoes?,ING,What are ingredients for the <name>Breakfast</name> <name>Potatoes</name> ?
How do I cook oatmeal blueberry muffins?,DIR,How do I cook <name>oatmeal</name> <name>blueberry</name> <name>muffins</name> ?
ingredients for dish Hominy Skillet?,ING,ingredients for dish <name>Hominy</name> <name>Skillet</name> ?
How do I make slow cooker chai perfectly?,DIR,How do I make <name>slow</name> <name>cooker</name> <name>chai</name> perfectly ?
Utensils to roast spicy jalapeno poppers?,EQUIP,Utensils to <method>roast</method> <name>spicy</name> <name>jalapeno</name> <name>poppers</name> ?
Chilean recipes?,NAME,<type>Chilean</type> recipes ?
Chilean recipes using chicken breast?,NAME,<type>Chilean</type> recipes using <ing>chicken</ing> <ing>breast</ing> ?
Best blackberry pie iv recipe?,ALL,
How many medium carrots and shrimp do I need for Pork Marsala?,QTY,How many <ing>medium</ing> <ing>carrots</ing> and <ing>shrimp</ing> do I need for <name>Pork</name> <name>Marsala</name> ?
What should I know about Chocolate Pretzel Treats?,OBJ,What should I know about <name>Chocolate</name> <name>Pretzel</name> <name>Treats</name> ?
Give me the recipe of steaming the dragon fruit colada please!?,DIR,Give me the recipe of <method>steaming</method> the <name>dragon</name> <name>fruit</name> <name>colada</name> please ! ?
How much time to bake Easy Biscuits dish?,TIME,How much time to <method>bake</method> <name>Easy</name> <name>Biscuits</name> dish ?
Ingredients to roast make-ahead mashed potatoes,ING,Ingredients to <method>roast</method> <name>make-ahead</name> <name>mashed</name> <name>potatoes</name>
Which utensils is required for buddhist monk dumplings?,EQUIP,Which utensils is required for <name>buddhist</name> <name>monk</name> <name>dumplings</name> ?
What are the nutrients present in chickpea coconut salad?,NUT,What are the nutrients present in <name>chickpea</name> <name>coconut</name> <name>salad</name> ?
Guide me to boil cheesecake brownies.,DIR,Guide me to <method>boil</method> <name>cheesecake</name> <name>brownies</name> .
"I have hot dog,two onions and zucchinis, how should I cook it?",DIR,"I have <ing>hot</ing> <ing>dog</ing> , two <ing>onions</ing> and <ing>zucchinis</ing> , how should I cook it ?"
What should I know about Biscochitos I dish?,OBJ,What should I know about <name>Biscochitos</name> <name>I</name> dish ?
Time for roasting Chicken Cauliflower Korma,TIME,Time for <method>roasting</method> <name>Chicken</name> <name>Cauliflower</name> <name>Korma</name>
How long do I roast Vegetarian Cornbread Stuffing?,TIME,How long do I <method>roast</method> <name>Vegetarian</name> <name>Cornbread</name> <name>Stuffing</name> ?
Any breakfast bread recipes?,NAME,Any <type>breakfast</type> <type>bread</type> recipes ?
what is in blueberry skyr muffins?,ING,
what cooking utensils are used in the QOB Veggie Enchiladas?,EQUIP,what cooking utensils are used in the <name>QOB</name> <name>Veggie</name> <name>Enchiladas</name> ?
How long does it take to boil Hazelnut Palmiers?,TIME,How long does it take to <method>boil</method> <name>Hazelnut</name> <name>Palmiers</name> ?
Do you know good candy recipes to cook?,NAME,Do you know good <type>candy</type> recipes to cook ?
What are the nutrients present in Blackberry-Cherry Salsa?,NUT,What are the nutrients present in <name>Blackberry-Cherry</name> <name>Salsa</name> ?
Buffalo-Style Pizza recipe?,ALL,
Any good Russian recipes?,NAME,Any good <type>Russian</type> recipes ?
How long for Parmesan Garlic Rolls to make?,TIME,How long for <name>Parmesan</name> <name>Garlic</name> <name>Rolls</name> to make ?
what is Whole Wheat Wraps?,OBJ,
What is Quick Tomato Sandwich?,OBJ,What is <name>Quick</name> <name>Tomato</name> <name>Sandwich</name> ?
Collards?,ALL,
Can you give me a recipe for bread bowls ii with pepper?,DIR,Can you give me a recipe for <name>bread</name> <name>bowls</name> <name>ii</name> with <ing>pepper</ing> ?
What could I use on Very Garlicky Vinaigrette?,ING,What could I use on <name>Very</name> <name>Garlicky</name> <name>Vinaigrette</name> ?
Tell me something about dish Apple Walnut Bread?,OBJ,Tell me something about dish <name>Apple</name> <name>Walnut</name> <name>Bread</name> ?
What can you tell me about dish turkey delight?,OBJ,What can you tell me about dish <name>turkey</name> <name>delight</name> ?
Side Dish recipes using butter and two lemons?,NAME,<type>Side</type> <type>Dish</type> recipes using <ing>butter</ing> and two <ing>lemons</ing> ?
Best way for roasting medium carrot?,DIR,Best way for <method>roasting</method> <ing>medium</ing> <ing>carrot</ing> ?
What are some ingredients I can use for the roasted pepper-avocado salsa?,ING,What are some ingredients I can use for the <name>roasted</name> <name>pepper-avocado</name> <name>salsa</name> ?
What's in Jalapeno Popper Spread?,ING,What 's in <name>Jalapeno</name> <name>Popper</name> <name>Spread</name> ?
Best the pasta salad recipe?,ALL,Best the <name>pasta</name> <name>salad</name> recipe ?
how much nectar for steaming thin-crust pizza dough?,QTY,how much <ing>nectar</ing> for <method>steaming</method> <name>thin-crust</name> <name>pizza</name> <name>dough</name> ?
boiling time of one-ingredient sorbet dish?,TIME,<method>boiling</method> time of <name>one-ingredient</name> <name>sorbet</name> dish ?
How do I fry Spicy Watermelon from small zucchini?,DIR,How do I <method>fry</method> <name>Spicy</name> <name>Watermelon</name> from <ing>small</ing> <ing>zucchini</ing> ?
What is the best way for steaming pepper?,DIR,What is the best way for <method>steaming</method> <ing>pepper</ing> ?
What can you tell me about Cauliflower Puree?,OBJ,What can you tell me about <name>Cauliflower</name> <name>Puree</name> ?
what are the different ways to roast clove?,NAME,what are the different ways to <method>roast</method> <ing>clove</ing> ?
Do you know how to cook Tomato-Celery Salsa and Latvian Honey Cake dishes?,DIR,Do you know how to cook <name>Tomato-Celery</name> <name>Salsa</name> and <name>Latvian</name> <name>Honey</name> <name>Cake</name> dishes ?
tuna salad recipe?,ALL,<name>tuna</name> <name>salad</name> recipe ?
All information of Fresh Strawberry-Oatmeal Cookies dish,ALL,
Easy mozzarella cheese recipes for breakfast?,NAME,<type>Easy</type> <ing>mozzarella</ing> <ing>cheese</ing> recipes for <type>breakfast</type> ?
How many bell peppers do I need for amazing apple cake?,QTY,How many <ing>bell</ing> <ing>peppers</ing> do I need for amazing <name>apple</name> <name>cake</name> ?
Best pineapple sunrise mimosas recipe?,ALL,
cucumber chicken roll-ups - the best way to boil it?,DIR,<name>cucumber</name> <name>chicken</name> <name>roll-ups</name> - the best way to <method>boil</method> it ?
How do I boil kentucky derby pie perfectly?,DIR,How do I <method>boil</method> <name>kentucky</name> <name>derby</name> <name>pie</name> perfectly ?
What are the nutrients present in crab crusted grouper?,NUT,What are the nutrients present in <name>crab</name> <name>crusted</name> <name>grouper</name> ?
Please give me nutrition value of sexy air-fried meatloaf?,NUT,Please give me nutrition value of <name>sexy</name> <name>air-fried</name> <name>meatloaf</name> ?
how is the Skinny Cabbage Soup fried?,DIR,how is the <name>Skinny</name> <name>Cabbage</name> <name>Soup</name> <method>fried</method> ?
Do you know the recipe for bopis dish?,DIR,Do you know the recipe for <name>bopis</name> dish ?
making time of Cranberry Juice Surprise?,TIME,making time of <name>Cranberry</name> <name>Juice</name> <name>Surprise</name> ?
what is in homemade bread stuffing?,ING,
What are the nutrients present in black salt asparagus dish?,NUT,What are the nutrients present in <name>black</name> <name>salt</name> <name>asparagus</name> dish ?
How long does it take to roast Vanilla Sauce?,TIME,How long does it take to <method>roast</method> <name>Vanilla</name> <name>Sauce</name> ?
All about Oatmeal Pancakes I,ALL,
Help to roast broccoli cornbread - What should I do?,DIR,Help to <method>roast</method> <name>broccoli</name> <name>cornbread</name> - What should I do ?
How do I roast Zesty Barbeque Marinade dish?,DIR,How do I <method>roast</method> <name>Zesty</name> <name>Barbeque</name> <name>Marinade</name> dish ?
Recipe for the best watermelon fruit bowl?,DIR,Recipe for the best <name>watermelon</name> <name>fruit</name> <name>bowl</name> ?
how much wine should be used to stew fluffy cranberry salad?,QTY,how much <ing>wine</ing> should be used to <method>stew</method> <name>fluffy</name> <name>cranberry</name> <name>salad</name> ?
"What’s the best way to cook mozzarella cheese, hot dogs and cloves?",DIR,"What ’ s the best way to cook <ing>mozzarella</ing> <ing>cheese</ing> , <ing>hot</ing> <ing>dogs</ing> and <ing>cloves</ing> ?"
Help me to cook the Puerto Rican Sofrito,DIR,Help me to cook the <name>Puerto</name> <name>Rican</name> <name>Sofrito</name>
What are the devices for frying Easy Beef Shawarma?,EQUIP,What are the devices for <method>frying</method> <name>Easy</name> <name>Beef</name> <name>Shawarma</name> ?
za'atar roasted potatoes recipe?,ALL,
How long does it take for steaming strawberry barbecue sauce?,TIME,How long does it take for <method>steaming</method> <name>strawberry</name> <name>barbecue</name> <name>sauce</name> ?
What are ingredients for the cheese ramkin?,ING,What are ingredients for the <name>cheese</name> <name>ramkin</name> ?
Tell me something about Classic Cuban-Style Picadillo?,OBJ,Tell me something about <name>Classic</name> <name>Cuban-Style</name> <name>Picadillo</name> ?
Best way for stewing Tomato-Celery Salsa?,DIR,Best way for <method>stewing</method> <name>Tomato-Celery</name> <name>Salsa</name> ?
"I have leek, how should I simmer it?",DIR,"I have <ing>leek</ing> , how should I <method>simmer</method> it ?"
"Quantity of peas, peanuts to prepare sorghum buddha bowl?",QTY,"Quantity of <ing>peas</ing> , <ing>peanuts</ing> to prepare <name>sorghum</name> <name>buddha</name> <name>bowl</name> ?"
